region_code,region_name,year,value,gender,nationality,age_group,notes
05911,Bochum,2020,1668.0000,total,total,,10 to <50 employees
05911,Bochum,2020,399.0000,total,total,,50 to <250 employees
05911,Bochum,2021,1684.0000,total,total,,10 to <50 employees
05911,Bochum,2021,78.0000,total,total,,250+ employees
05911,Bochum,2021,13550.0000,total,total,,Total - all size classes
05911,Bochum,2021,11387.0000,total,total,,0 to <10 employees
05911,Bochum,2021,401.0000,total,total,,50 to <250 employees
05911,Bochum,2022,11559.0000,total,total,,0 to <10 employees
05911,Bochum,2022,13787.0000,total,total,,Total - all size classes
05911,Bochum,2022,1736.0000,total,total,,10 to <50 employees
05911,Bochum,2022,409.0000,total,total,,50 to <250 employees
05911,Bochum,2022,83.0000,total,total,,250+ employees
05911,Bochum,2023,13942.0000,total,total,,Total - all size classes
05911,Bochum,2023,425.0000,total,total,,50 to <250 employees
05911,Bochum,2023,81.0000,total,total,,250+ employees
05911,Bochum,2023,11718.0000,total,total,,0 to <10 employees
05911,Bochum,2023,1718.0000,total,total,,10 to <50 employees
05913,Dortmund,2019,22713.0000,total,total,,Total - all size classes
05913,Dortmund,2019,2859.0000,total,total,,10 to <50 employees
05913,Dortmund,2019,19039.0000,total,total,,0 to <10 employees
05913,Dortmund,2019,656.0000,total,total,,50 to <250 employees
05913,Dortmund,2019,159.0000,total,total,,250+ employees
05913,Dortmund,2020,18249.0000,total,total,,0 to <10 employees
05913,Dortmund,2020,21889.0000,total,total,,Total - all size classes
05913,Dortmund,2020,644.0000,total,total,,50 to <250 employees
05913,Dortmund,2020,159.0000,total,total,,250+ employees
05913,Dortmund,2020,2837.0000,total,total,,10 to <50 employees
05913,Dortmund,2021,2824.0000,total,total,,10 to <50 employees
05913,Dortmund,2021,21891.0000,total,total,,Total - all size classes
05913,Dortmund,2021,18267.0000,total,total,,0 to <10 employees
05913,Dortmund,2021,641.0000,total,total,,50 to <250 employees
05913,Dortmund,2021,159.0000,total,total,,250+ employees
05913,Dortmund,2022,22123.0000,total,total,,Total - all size classes
05913,Dortmund,2022,18392.0000,total,total,,0 to <10 employees
05913,Dortmund,2022,161.0000,total,total,,250+ employees
05913,Dortmund,2022,2899.0000,total,total,,10 to <50 employees
05913,Dortmund,2022,671.0000,total,total,,50 to <250 employees
05913,Dortmund,2023,680.0000,total,total,,50 to <250 employees
05913,Dortmund,2023,2868.0000,total,total,,10 to <50 employees
05913,Dortmund,2023,22471.0000,total,total,,Total - all size classes
05913,Dortmund,2023,18761.0000,total,total,,0 to <10 employees
05913,Dortmund,2023,162.0000,total,total,,250+ employees
