region_code,region_name,year,value,gender,nationality,age_group,notes
05112,Duisburg,1995,6243.0000,total,total,,
05112,Duisburg,1996,5772.0000,total,total,,
05112,Duisburg,1997,5233.0000,total,total,,
05112,Duisburg,1998,5138.0000,total,total,,
05112,Duisburg,1999,5000.0000,total,total,,
05112,Duisburg,2000,4665.0000,total,total,,
05112,Duisburg,2001,4094.0000,total,total,,
05112,Duisburg,2002,3962.0000,total,total,,
05112,Duisburg,2003,3450.0000,total,total,,
05112,Duisburg,2004,2911.0000,total,total,,
05112,Duisburg,2005,2687.0000,total,total,,
05112,Duisburg,2006,2661.0000,total,total,,
05112,Duisburg,2007,2369.0000,total,total,,
05112,Duisburg,2008,2280.0000,total,total,,
05112,Duisburg,2009,2545.0000,total,total,,
05112,Duisburg,2010,2453.0000,total,total,,
05112,Duisburg,2011,2590.0000,total,total,,
05112,Duisburg,2012,2452.0000,total,total,,
05112,Duisburg,2013,2525.0000,total,total,,
05112,Duisburg,2014,2678.0000,total,total,,
05112,Duisburg,2015,2640.0000,total,total,,
05112,Duisburg,2016,2426.0000,total,total,,
05112,Duisburg,2017,2526.0000,total,total,,
05112,Duisburg,2018,2630.0000,total,total,,
05112,Duisburg,2019,2887.0000,total,total,,
05112,Duisburg,2020,2984.0000,total,total,,
05112,Duisburg,2021,3276.0000,total,total,,
05112,Duisburg,2022,3422.0000,total,total,,
05112,Duisburg,2023,3271.0000,total,total,,
05112,Duisburg,2024,3345.0000,total,total,,
05113,Essen,1995,8369.0000,total,total,,
05113,Essen,1996,8443.0000,total,total,,
05113,Essen,1997,8344.0000,total,total,,
05113,Essen,1998,8033.0000,total,total,,
05113,Essen,1999,6539.0000,total,total,,
05113,Essen,2000,5937.0000,total,total,,
05113,Essen,2001,5599.0000,total,total,,
05113,Essen,2002,5545.0000,total,total,,
05113,Essen,2003,4935.0000,total,total,,
05113,Essen,2004,4864.0000,total,total,,
05113,Essen,2005,4219.0000,total,total,,
05113,Essen,2006,4136.0000,total,total,,
05113,Essen,2007,3951.0000,total,total,,
05113,Essen,2008,3734.0000,total,total,,
05113,Essen,2009,3815.0000,total,total,,
05113,Essen,2010,3655.0000,total,total,,
05113,Essen,2011,3980.0000,total,total,,
05113,Essen,2012,3787.0000,total,total,,
05113,Essen,2013,3896.0000,total,total,,
05113,Essen,2014,3297.0000,total,total,,
05113,Essen,2015,3486.0000,total,total,,
05113,Essen,2016,3210.0000,total,total,,
05113,Essen,2017,3468.0000,total,total,,
05113,Essen,2018,3518.0000,total,total,,
05113,Essen,2019,3588.0000,total,total,,
05113,Essen,2020,4111.0000,total,total,,
05113,Essen,2021,4264.0000,total,total,,
05113,Essen,2022,4295.0000,total,total,,
05113,Essen,2023,3808.0000,total,total,,
