region_code,region_name,year,value,gender,nationality,age_group,notes
05112,Duisburg,2006,15958.0000,total,total,,"Total - all sectors (B-N, P-S)"
05112,Duisburg,2006,1072.0000,total,total,,Q - Health and social work
05112,Duisburg,2006,818.0000,total,total,,N - Other business services
05112,Duisburg,2006,1533.0000,total,total,,F - Construction
05112,Duisburg,2006,1161.0000,total,total,,S - Other services
05112,Duisburg,2006,1653.0000,total,total,,I - Accommodation and food services
05112,Duisburg,2006,7.0000,total,total,,B - Mining and quarrying
05112,Duisburg,2006,531.0000,total,total,,J - Information and communication
05112,Duisburg,2006,936.0000,total,total,,L - Real estate
05112,Duisburg,2006,1591.0000,total,total,,"M - Professional, scientific services"
05112,Duisburg,2006,55.0000,total,total,,E - Water supply
05112,Duisburg,2006,315.0000,total,total,,P - Education
05112,Duisburg,2006,862.0000,total,total,,C - Manufacturing
05112,Duisburg,2006,3784.0000,total,total,,"G - Trade, vehicle maintenance"
05112,Duisburg,2006,11.0000,total,total,,D - Energy supply
05112,Duisburg,2006,245.0000,total,total,,K - Financial and insurance services
05112,Duisburg,2006,453.0000,total,total,,"R - Arts, entertainment, recreation"
05112,Duisburg,2006,931.0000,total,total,,H - Transport and storage
05112,Duisburg,2007,303.0000,total,total,,P - Education
05112,Duisburg,2007,1632.0000,total,total,,I - Accommodation and food services
05112,Duisburg,2007,1125.0000,total,total,,S - Other services
05112,Duisburg,2007,7.0000,total,total,,B - Mining and quarrying
05112,Duisburg,2007,1642.0000,total,total,,"M - Professional, scientific services"
05112,Duisburg,2007,3754.0000,total,total,,"G - Trade, vehicle maintenance"
05112,Duisburg,2007,916.0000,total,total,,H - Transport and storage
05112,Duisburg,2007,265.0000,total,total,,K - Financial and insurance services
05112,Duisburg,2007,457.0000,total,total,,"R - Arts, entertainment, recreation"
05112,Duisburg,2007,13.0000,total,total,,D - Energy supply
05112,Duisburg,2007,548.0000,total,total,,J - Information and communication
05112,Duisburg,2007,1073.0000,total,total,,Q - Health and social work
05112,Duisburg,2007,59.0000,total,total,,E - Water supply
05112,Duisburg,2007,936.0000,total,total,,L - Real estate
05112,Duisburg,2007,1553.0000,total,total,,F - Construction
05112,Duisburg,2007,16028.0000,total,total,,"Total - all sectors (B-N, P-S)"
05112,Duisburg,2007,878.0000,total,total,,N - Other business services
05112,Duisburg,2007,867.0000,total,total,,C - Manufacturing
05112,Duisburg,2008,936.0000,total,total,,N - Other business services
05112,Duisburg,2008,1562.0000,total,total,,F - Construction
05112,Duisburg,2008,60.0000,total,total,,E - Water supply
05112,Duisburg,2008,578.0000,total,total,,J - Information and communication
05112,Duisburg,2008,1106.0000,total,total,,S - Other services
05112,Duisburg,2008,927.0000,total,total,,H - Transport and storage
05112,Duisburg,2008,1088.0000,total,total,,Q - Health and social work
05112,Duisburg,2008,1551.0000,total,total,,I - Accommodation and food services
05112,Duisburg,2008,7.0000,total,total,,B - Mining and quarrying
05112,Duisburg,2008,3754.0000,total,total,,"G - Trade, vehicle maintenance"
05112,Duisburg,2008,471.0000,total,total,,"R - Arts, entertainment, recreation"
05112,Duisburg,2008,1708.0000,total,total,,"M - Professional, scientific services"
05112,Duisburg,2008,272.0000,total,total,,K - Financial and insurance services
05112,Duisburg,2008,13.0000,total,total,,D - Energy supply
05112,Duisburg,2008,910.0000,total,total,,L - Real estate
05112,Duisburg,2008,314.0000,total,total,,P - Education
05112,Duisburg,2008,871.0000,total,total,,C - Manufacturing
05112,Duisburg,2008,16128.0000,total,total,,"Total - all sectors (B-N, P-S)"
05112,Duisburg,2009,54.0000,total,total,,E - Water supply
05112,Duisburg,2009,3602.0000,total,total,,"G - Trade, vehicle maintenance"
05112,Duisburg,2009,532.0000,total,total,,J - Information and communication
05112,Duisburg,2009,313.0000,total,total,,P - Education
05112,Duisburg,2009,272.0000,total,total,,K - Financial and insurance services
05112,Duisburg,2009,1677.0000,total,total,,"M - Professional, scientific services"
05112,Duisburg,2009,1087.0000,total,total,,S - Other services
05112,Duisburg,2009,881.0000,total,total,,C - Manufacturing
05112,Duisburg,2009,1087.0000,total,total,,Q - Health and social work
05112,Duisburg,2009,973.0000,total,total,,N - Other business services
05112,Duisburg,2009,1511.0000,total,total,,I - Accommodation and food services
05112,Duisburg,2009,1587.0000,total,total,,F - Construction
05112,Duisburg,2009,15879.0000,total,total,,"Total - all sectors (B-N, P-S)"
05112,Duisburg,2009,937.0000,total,total,,L - Real estate
05112,Duisburg,2009,888.0000,total,total,,H - Transport and storage
05112,Duisburg,2009,18.0000,total,total,,D - Energy supply
05112,Duisburg,2009,6.0000,total,total,,B - Mining and quarrying
05112,Duisburg,2009,454.0000,total,total,,"R - Arts, entertainment, recreation"
05112,Duisburg,2010,939.0000,total,total,,N - Other business services
05112,Duisburg,2010,886.0000,total,total,,C - Manufacturing
05112,Duisburg,2010,904.0000,total,total,,H - Transport and storage
05112,Duisburg,2010,314.0000,total,total,,P - Education
05112,Duisburg,2010,1489.0000,total,total,,I - Accommodation and food services
05112,Duisburg,2010,452.0000,total,total,,"R - Arts, entertainment, recreation"
05112,Duisburg,2010,53.0000,total,total,,E - Water supply
