region_code,region_name,year,indicator_name,value,notes,gender,nationality
05913,Dortmund,2012,Deutsche Bevölkerung,182943.0,,total,total
05913,Dortmund,2013,Deutsche Bevölkerung,22825.0,,total,total
05913,Dortmund,2013,Deutsche Bevölkerung,185480.0,,total,total
05913,Dortmund,2013,Deutsche Bevölkerung,26332.0,,total,total
05913,Dortmund,2013,Deutsche Bevölkerung,102587.0,,total,total
05913,Dortmund,2014,Deutsche Bevölkerung,105430.0,,total,total
05913,Dortmund,2014,Deutsche Bevölkerung,24055.0,,total,total
05913,Dortmund,2014,Deutsche Bevölkerung,188956.0,,total,total
05913,Dortmund,2014,Deutsche Bevölkerung,28223.0,,total,total
05913,Dortmund,2015,Deutsche Bevölkerung,193599.0,,total,total
05913,Dortmund,2015,Deutsche Bevölkerung,107657.0,,total,total
05913,Dortmund,2015,Deutsche Bevölkerung,27306.0,,total,total
05913,Dortmund,2015,Deutsche Bevölkerung,30190.0,,total,total
05913,Dortmund,2016,Deutsche Bevölkerung,29009.0,,total,total
05913,Dortmund,2016,Deutsche Bevölkerung,200733.0,,total,total
05913,Dortmund,2016,Deutsche Bevölkerung,32899.0,,total,total
05913,Dortmund,2016,Deutsche Bevölkerung,110887.0,,total,total
05913,Dortmund,2017,Deutsche Bevölkerung,205949.0,,total,total
05913,Dortmund,2017,Deutsche Bevölkerung,30764.0,,total,total
05913,Dortmund,2017,Deutsche Bevölkerung,112830.0,,total,total
05913,Dortmund,2017,Deutsche Bevölkerung,34950.0,,total,total
05913,Dortmund,2018,Deutsche Bevölkerung,115030.0,,total,total
05913,Dortmund,2018,Deutsche Bevölkerung,37019.0,,total,total
05913,Dortmund,2018,Deutsche Bevölkerung,211353.0,,total,total
05913,Dortmund,2018,Deutsche Bevölkerung,32572.0,,total,total
05913,Dortmund,2019,Deutsche Bevölkerung,33873.0,,total,total
05913,Dortmund,2019,Deutsche Bevölkerung,38883.0,,total,total
05913,Dortmund,2019,Deutsche Bevölkerung,215290.0,,total,total
05913,Dortmund,2019,Deutsche Bevölkerung,116156.0,,total,total
05913,Dortmund,2020,Deutsche Bevölkerung,216178.0,,total,total
05913,Dortmund,2020,Deutsche Bevölkerung,115634.0,,total,total
05913,Dortmund,2020,Deutsche Bevölkerung,34929.0,,total,total
05913,Dortmund,2020,Deutsche Bevölkerung,40221.0,,total,total
05913,Dortmund,2021,Deutsche Bevölkerung,116690.0,,total,total
05913,Dortmund,2021,Deutsche Bevölkerung,42528.0,,total,total
05913,Dortmund,2021,Deutsche Bevölkerung,220551.0,,total,total
05913,Dortmund,2021,Deutsche Bevölkerung,36662.0,,total,total
05913,Dortmund,2022,Deutsche Bevölkerung,44745.0,,total,total
05913,Dortmund,2022,Deutsche Bevölkerung,117969.0,,total,total
05913,Dortmund,2022,Deutsche Bevölkerung,38714.0,,total,total
05913,Dortmund,2022,Deutsche Bevölkerung,226369.0,,total,total
05913,Dortmund,2023,Deutsche Bevölkerung,117886.0,,total,total
05913,Dortmund,2023,Deutsche Bevölkerung,228036.0,,total,total
05913,Dortmund,2023,Deutsche Bevölkerung,46392.0,,total,total
05913,Dortmund,2023,Deutsche Bevölkerung,39329.0,,total,total
05913,Dortmund,2024,Deutsche Bevölkerung,229834.0,,total,total
05913,Dortmund,2024,Deutsche Bevölkerung,117282.0,,total,total
05913,Dortmund,2024,Deutsche Bevölkerung,40216.0,,total,total
05913,Dortmund,2024,Deutsche Bevölkerung,48021.0,,total,total
05112,Duisburg,2008,Deutsche Bevölkerung,148670.0,,total,total
05112,Duisburg,2008,Deutsche Bevölkerung,29519.0,,total,total
05112,Duisburg,2008,Deutsche Bevölkerung,96574.0,,total,total
